Name,Distance,Mass(KG),Meters,Gravity
II Pegasi,0130,1.989e+32,2365380000.0,349079008319981.94
VY Canis Majoris,"03,900",4.7736e+31,987894000000.0,480303908.2934725
Pistol Star,"025,000",1.6906499999999999e+31,222624000000.0,3349658531.0079517
S Doradus,"0169,000",2.7846e+29,264366000000.0,39123924.31198468
UY Scuti,"05,100",7.956e+28,525253500000.0,2831702.705094683
Barnard's Star,05.98,2.3868e+29,139140000.0,121060600085369.72
Luhman 16,06.52,2.84427e+30,104355000.0,2564691231438202.5
Proxima Centauri,04.25,5.7680999999999994e+32,1099206000.0,4687760244720027.0
KIC 8462852,"01,470",3.75921e+32,22262400000.0,7448064263064.739
R136a1,"0163,000",3.7791e+31,14679270000.000002,1722147152745.9133
Melnick 42,"0163,000",1.1432771999999998e+32,271323000.0,1.5249974343429874e+16
WR 102,"018,134",2.00889e+30,10066779000.0,194655141397.3663
VFTS 352,"0164,000",3.1824e+29,688743000.0,6587659767254.756
YBP 1194,"02,772",9.945e+31,146097000.0,4.575230539885478e+16
Gliese 1214,047.5,1.4917499999999999e+29,1147905000000.0,1111667.58572424
NML Cygni,"05,251",3.7791e+31,1739250000000.0,122674741.41984133
VB 10,018.72,1.7702099999999997e+29,1147905000000.0,1319178.8683927646
WOH G64,"0163,000",1.3923e+29,1147905000000.0,1037556.413342624
TRAPPIST-1,039.6,1.6906499999999997e+30,59830199.99999999,4637710026706521.0
2MASS J0523-1403,040.3,1.6906499999999997e+30,626130000.0,42346300441384.47
WISE 0855−0714,07.27,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
CoRoT-29 b,2495,1.6906499999999997e+30,626130000.0,42346300441384.47
